σ,0,0.1,0.2,0.3,0.4,0.5,0.6
MPDA,0.815,0.809,0.764,0.672,0.6,0.523,0.472
PnPDA,0.865,0.857,0.807,0.709,0.606,0.539,0.472
MPDA-P,0.561,0.558,0.544,0.524,0.509,0.489,0.477
PnPDA-P,0.552,0.547,0.53,0.504,0.477,0.45,0.429
STAMP,0.545,0.541,0.521,0.495,0.466,0.435,0.421
NegoCollab-P,0.792,0.782,0.741,0.676,0.595,0.536,0.477
NegoCollab,0.872,0.866,0.81,0.719,0.627,0.553,0.483
