σ,0,0.1,0.2,0.3,0.4,0.5,0.6
MPDA,0.512,0.51,0.495,0.47,0.442,0.416,0.397
PnPDA,0.494,0.49,0.475,0.438,0.399,0.367,0.341
MPDA-P,0.465,0.464,0.464,0.463,0.462,0.459,0.457
PnPDA-P,0.434,0.434,0.434,0.432,0.477,0.45,0.429
STAMP,0.364,0.364,0.362,0.36,0.357,0.353,0.351
NegoCollab,0.43,0.428,0.421,0.41,0.4,0.388,0.383
NegoCollab-FT,0.66,0.653,0.626,0.57,0.523,0.483,0.455
